Техническая поддержка ИИ-бота,,
Работы,,Цена
Сервер и инфраструктура,,"5,000.00"
,Аренда и администрирование сервера,
,Мониторинг доступности (Uptime),
,Обновления и безопасность системы,
,Резервное копирование данных,
,Масштабирование при изменении нагрузки,
Токены ИИ-модели,,"5,000.00"
,Оплата токенов для обработки запросов,
,Оптимизация запросов — качество ответов и экономный расход,
,Учёт расхода токенов в системе мониторинга,
Техническая поддержка бота + интеграции с amoCRM,,"5,000.00"
,Мониторинг работы ассистента,не ведем
,Устранение сбоев и ошибок,
,Обновления системы,
,"Поддержка каналов подключения — сайт, мессенджеры и другие точки входа",
,Консультации сотрудников в чате,
,Учёт пожеланий сотрудников по работе ассистента,за отдельную стоимость
Управление базой знаний,,"10,000.00"
,Аудит актуальности базы знаний,не проводим
,"Внесение изменений по запросу клиента — услуги, цены, акции, правила",по запросу
,Исправление неточностей в ответах (без выявления),по запросу
,Тестирование после обновлений,
,Напоминание об актуализации базы знаний — ежемесячно или ежеквартально,
,,"25,000.00"
